#,Title,Type,Detail,Assignee Company,Assignee Name,Response Status,Date Initiated,Due Date,Location,Trade,Status,Reference,Priority,Cost Code,Cost Impact,Cost Impact Amount,Schedule Impact,Schedule Impact Days,,,,,,
442,PH 1 - Replace Stair Landing Trim,, 12.00 ,,,,9/21/2016,9/24/2016,Arbor way>103,,Open,,,,,,,,,,,,,
441,PH 1 - Handrail Addition,, 3.00 ,,,,9/21/2016,9/24/2016,101 northwoods village dr,,Open,,,,,,,,,,,,,
440,PH 1 - Handrail Addition,, 13.00 ,,,,9/21/2016,9/24/2016,104 northwoods village dr,,Open,,,,,,,,,,,,PH 1 - Replace Stair Landing Trim,12
439,PH 1 - Handrail Addition,, 65.00 ,,,,9/21/2016,9/24/2016,Arbor way>101,,Open,,,,,,,,,,,,PH 1 - Handrail Addition,65
438,PH 1 - Handrail Addition,, 6.00 ,,,,9/21/2016,9/24/2016,Arbor way>105,,Open,,,,,,,,,,,,PH 2 - Handrail Addition,113
437,PH 2 - Handrail Addition,, 93.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>108,,Open,,,,,,,,,,,,PH 2 - Replace Stair Beam,36
436,PH 2 - Handrail Addition,, 15.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>101,,Open,,,,,,,,,,,,PH 2 - Reattach Spindles, 38.00 
435,PH 2 - Handrail Addition,, 3.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>109,,Open,,,,,,,,,,,,PH 2 - Replace Stair Rail, 48.00 
434,PH 2 - Replace Stair Beam,, 36.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>116,,Open,,,,,,,,,,,,PH 2 - Add Car Stop, 8.00 
433,PH 2 - Reattach Spindles,, 38.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>116,,Open,,,,,,,,,,,,PH 1 - Curb Repair, 34.00 
432,PH 2 - Replace Stair Rail,, 4.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>106,,Open,,,,,,,,,,,,PH 1 - Concrete Saw Cut & Replace, 850.00 
431,PH 2 - Replace Stair Rail,, 2.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>109,,Open,,,,,,,,,,,,PH 2 - Concrete Saw Cut & Replace, 430.00 
430,PH 2 - Replace Stair Rail,, 4.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>111,,Open,,,,,,,,,,,,PH 2 - Concrete Grinding, 3.00 
429,PH 2 - Replace Stair Rail,, 38.00 ,,,,9/21/2016,9/24/2016,Sweetspire way>116,,Open,,,,,,,,,,,,PH 1 - Asphalt Saw Cut & Replace," 1,250.00 "
428,PH 2 - Add Car Stop,, 8.00 ,,,,9/21/2016,9/24/2016,Hidden oaks dr>106,,Open,,,,,,,,,,,,PH 2 - Asphalt Saw Cut & Replace, 250.00 
427,PH 1 - Curb Repair,, 34.00 ,,,,9/21/2016,9/24/2016,Arbor way>107,,Open,,,,,,,,,,,,PH 2 - Replace Dryer Vents, 3.00 
426,PH 1 - Concrete Saw Cut & Replace,, 190.00 ,,,,9/21/2016,9/24/2016,104 kindletree ct,,Open,,,,,,,,,,,,PH 2 - Replace Patio Ceiling, 40.00 
425,PH 1 - Concrete Saw Cut & Replace,, 222.00 ,,,,9/21/2016,9/24/2016,106 northwoods village dr,,Open,,,,,,,,,,,,PH 2 - Downspout Addition, 142.00 
424,PH 1 - Concrete Saw Cut & Replace,, 150.00 ,,,,9/21/2016,9/24/2016,110 northwoods village dr,,Open,,,,,,,,,,,,PH 2 - Downspout Reattach, 34.00 
423,PH 1 - Concrete Saw Cut & Replace,, 36.00 ,,,,9/21/2016,9/24/2016,Arbor way>102,,Open,,,,,,,,,,,,PH 2 - Downspout Replacement, 12.00 
422,PH 1 - Concrete Saw Cut & Replace,, 153.00 ,,,,9/21/2016,9/24/2016,Arbor way>105,,Open,,,,,,,,,,,,PH 1 - Cornerboard Replacement, 128.00 
421,PH 1 - Concrete Saw Cut & Replace,, 99.00 ,,,,9/21/2016,9/24/2016,Arbor way>107,,Open,,,,,,,,,,,,PH 1 - Gutter Replacement, 10.00 
